                            -----Size(MB)----- ----Ports----             
 Id CagePos Type RPM State      Total     Free A      B      Capacity(GB)
243 10:2:2  FC    10 normal    417792    77824 2:6:3* 3:6:3           450
244 4:6:0   FC    10 normal    417792    78848 0:6:1* 1:6:1           450
245 1:6:1   FC    10 normal    417792    20480 0:3:2  1:3:2*          450
246 4:6:2   FC    10 normal    417792    77824 0:6:1* 1:6:1           450
247 4:6:3   FC    10 normal    417792    80896 0:6:1  1:6:1*          450
248 1:6:3   FC    10 normal    417792    11264 0:3:2  1:3:2*          450
249 10:2:3  FC    10 normal    417792    79872 2:6:3  3:6:3*          450
250 10:6:0  FC    15 normal    559104    77824 2:6:3* 3:6:3           600
251 10:6:1  FC    15 normal    559104    78848 2:6:3  3:6:3*          600
252 10:6:2  FC    15 normal    559104    79872 2:6:3* 3:6:3           600
253 10:6:3  FC    15 normal    559104    78848 2:6:3  3:6:3*          600
254 10:7:0  FC    10 normal    417792    76800 2:6:3* 3:6:3           450
255 10:7:1  FC    10 normal    417792    79872 2:6:3  3:6:3*          450
256 5:6:0   FC    10 normal    417792    77824 0:6:2* 1:6:2           450
257 5:6:1   FC    10 normal    417792    79872 0:6:2  1:6:2*          450
258 10:7:2  FC    10 normal    417792    77824 2:6:3* 3:6:3           450
259 5:6:3   FC    10 normal    417792    79872 0:6:2  1:6:2*          450
260 10:7:3  FC    10 normal    417792    78848 2:6:3  3:6:3*          450
261 11:2:0  FC    10 normal    417792    14336 2:3:1* 3:3:1           450
262 11:2:1  FC    10 normal    417792    16384 2:3:1  3:3:1*          450
263 0:5:0   FC    15 normal    559104    83968 0:3:1* 1:3:1           600
264 11:2:2  FC    10 normal    417792    13312 2:3:1* 3:3:1           450
265 11:2:3  FC    10 normal    417792    15360 2:3:1  3:3:1*          450
266 13:3:0  FC    15 normal    559104    78848 2:6:4* 3:6:4           600
267 13:3:1  FC    15 normal    559104    79872 2:6:4  3:6:4*          600
268 6:6:0   FC    10 normal    417792     9216 0:6:3* 1:6:3           450
269 6:6:1   FC    10 normal    417792    11264 0:6:3  1:6:3*          450
270 6:6:2   FC    10 normal    417792    15360 0:6:3* 1:6:3           450
271 6:6:3   FC    10 normal    417792    20480 0:6:3  1:6:3*          450
